"country","year","pop","continent","lifeExp","gdpPercap"
"China",1952,556263527.999989,"Asia",44,400.448610699994
"China",1957,637408000,"Asia",50.54896,575.9870009
"China",1962,665770000,"Asia",44.50136,487.6740183
"China",1967,754550000,"Asia",58.38112,612.7056934
"China",1972,862030000,"Asia",63.11888,676.9000921
"China",1977,943455000,"Asia",63.96736,741.2374699
"China",1982,1000281000,"Asia",65.525,962.4213805
"China",1987,1084035000,"Asia",67.274,1378.904018
"China",1992,1164970000,"Asia",68.69,1655.784158
"China",1997,1230075000,"Asia",70.426,2289.234136
"China",2002,1280400000,"Asia",72.028,3119.280896
"China",2007,1318683096,"Asia",72.961,4959.114854
"India",1952,3.72e+08,"Asia",37.373,546.5657493
"India",1957,4.09e+08,"Asia",40.249,590.061996
"India",1962,4.54e+08,"Asia",43.605,658.3471509
"India",1967,5.06e+08,"Asia",47.193,700.7706107
"India",1972,5.67e+08,"Asia",50.651,724.032527
"India",1977,6.34e+08,"Asia",54.208,813.337323
"India",1982,7.08e+08,"Asia",56.596,855.7235377
"India",1987,7.88e+08,"Asia",58.553,976.5126756
"India",1992,8.72e+08,"Asia",60.223,1164.406809
"India",1997,9.59e+08,"Asia",61.765,1458.817442
"India",2002,1034172547,"Asia",62.879,1746.769454
"India",2007,1110396331,"Asia",64.698,2452.210407
"Japan",1952,86459025,"Asia",63.03,3216.956347
"Japan",1957,91563009,"Asia",65.5,4317.694365
"Japan",1962,95831757,"Asia",68.73,6576.649461
"Japan",1967,100825279,"Asia",71.43,9847.788607
"Japan",1972,107188273,"Asia",73.42,14778.78636
"Japan",1977,113872473,"Asia",75.38,16610.37701
"Japan",1982,118454974,"Asia",77.11,19384.10571
"Japan",1987,122091325,"Asia",78.67,22375.94189
"Japan",1992,124329269,"Asia",79.36,26824.89511
"Japan",1997,125956499,"Asia",80.69,28816.58499
"Japan",2002,127065841,"Asia",82,28604.5919
"Japan",2007,127467972,"Asia",82.603,31656.06806
"Thailand",1952,21289402,"Asia",50.848,757.7974177
"Thailand",1957,25041917,"Asia",53.63,793.5774148
"Thailand",1962,29263397,"Asia",56.061,1002.199172
"Thailand",1967,34024249,"Asia",58.285,1295.46066
"Thailand",1972,39276153,"Asia",60.405,1524.358936
"Thailand",1977,44148285,"Asia",62.494,1961.224635
"Thailand",1982,48827160,"Asia",64.597,2393.219781
"Thailand",1987,52910342,"Asia",66.084,2982.653773
"Thailand",1992,56667095,"Asia",67.298,4616.896545
"Thailand",1997,60216677,"Asia",67.521,5852.625497
"Thailand",2002,62806748,"Asia",68.564,5913.187529
"Thailand",2007,65068149,"Asia",70.616,7458.396327
"Vietnam",1952,26246839,"Asia",40.412,605.0664917
"Vietnam",1957,28998543,"Asia",42.887,676.2854478
"Vietnam",1962,33796140,"Asia",45.363,772.0491602
"Vietnam",1967,39463910,"Asia",47.838,637.1232887
"Vietnam",1972,44655014,"Asia",50.254,699.5016441
"Vietnam",1977,50533506,"Asia",55.764,713.5371196
"Vietnam",1982,56142181,"Asia",58.816,707.2357863
"Vietnam",1987,62826491,"Asia",62.82,820.7994449
"Vietnam",1992,69940728,"Asia",67.662,989.0231487
"Vietnam",1997,76048996,"Asia",70.672,1385.896769
"Vietnam",2002,80908147,"Asia",73.017,1764.456677
"Vietnam",2007,85262356,"Asia",74.249,2441.576404
